GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABZ001,ABZ002,ABZ003,ABZ004,ABZ005,ABZ006
"G1100075","1830","District Of Columbia","110","Rural Washington county","0075","Rural Washington county",0,0,0,0,0,0
"G1100115","1830","District Of Columbia","110","Washington City","0115","Washington City",1,3,1,2,0,0
"G1250015","1830","Florida Territory","125","Alachua","0015","Alachua",1,0,1,0,0,0
"G1250075","1830","Florida Territory","125","Duval","0075","Duval",0,0,0,0,0,1
"G1250095","1830","Florida Territory","125","Escambia","0095","Escambia",0,0,1,1,0,0
"G1250097","1830","Florida Territory","125","Escambia (part) and Walton (part)","0097","Escambia (part) and Walton (part)",0,0,0,0,0,0
"G1250135","1830","Florida Territory","125","Gadsden","0135","Gadsden",0,0,0,0,1,0
"G1250155","1830","Florida Territory","125","Hamilton","0155","Hamilton",0,0,0,0,0,0
"G1250195","1830","Florida Territory","125","Jackson","0195","Jackson",1,0,0,0,0,0
"G1250215","1830","Florida Territory","125","Jefferson","0215","Jefferson",0,0,0,0,0,0
"G1250235","1830","Florida Territory","125","Leon","0235","Leon",0,0,0,0,0,1
"G1250255","1830","Florida Territory","125","Madison","0255","Madison",0,0,0,0,0,0
"G1250275","1830","Florida Territory","125","Monroe","0275","Monroe",0,0,0,0,0,0
"G1250295","1830","Florida Territory","125","Mosquito","0295","Mosquito",0,0,0,0,0,0
"G1250315","1830","Florida Territory","125","Nassau","0315","Nassau",0,0,1,0,0,0
"G1250355","1830","Florida Territory","125","St Johns","0355","St Johns",0,0,0,0,0,0
"G1250375","1830","Florida Territory","125","Walton","0375","Walton",0,0,1,0,0,0
"G1250395","1830","Florida Territory","125","Washington","0395","Washington",0,0,0,0,1,1
"G1300010","1830","Georgia","130","Appling","0010","Appling",0,0,0,0,0,0
"G1300070","1830","Georgia","130","Baker","0070","Baker",0,2,1,0,0,0
"G1300090","1830","Georgia","130","Baldwin","0090","Baldwin",0,1,0,0,0,0
"G1300210","1830","Georgia","130","Bibb","0210","Bibb",0,0,4,0,0,0
"G1300290","1830","Georgia","130","Bryan","0290","Bryan",0,0,0,1,1,0
"G1300310","1830","Georgia","130","Bulloch","0310","Bulloch",0,1,0,0,0,0
"G1300330","1830","Georgia","130","Burke","0330","Burke",1,0,3,0,1,0
"G1300350","1830","Georgia","130","Butts","0350","Butts",0,0,0,1,0,0
"G1300390","1830","Georgia","130","Camden","0390","Camden",0,1,0,0,1,0
"G1300395","1830","Georgia","130","Campbell","0395","Campbell",0,1,0,0,0,0
"G1300450","1830","Georgia","130","Carroll","0450","Carroll",0,2,1,0,0,0
"G1300510","1830","Georgia","130","Chatham","0510","Chatham",0,0,0,0,4,0
"G1300590","1830","Georgia","130","Clarke","0590","Clarke",1,1,0,1,0,0
"G1300730","1830","Georgia","130","Columbia","0730","Columbia",2,1,0,1,2,2
"G1300770","1830","Georgia","130","Coweta","0770","Coweta",0,0,0,0,0,0
"G1300790","1830","Georgia","130","Crawford","0790","Crawford",0,0,0,0,0,0
"G1300870","1830","Georgia","130","Decatur","0870","Decatur",0,0,0,0,0,0
"G1300890","1830","Georgia","130","DeKalb","0890","De Kalb",0,0,1,0,0,0
"G1300930","1830","Georgia","130","Dooly","0930","Dooly",0,0,0,0,0,0
