GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ALF001,ALF002,ALF003,ALF004,ALF005,ALF006,ALF007,ALF008,ALF009,ALF010,ALF011,ALF012,ALF013,ALF014,ALF015,ALF016,ALF017,ALF018,ALF019,ALF020,ALF021,ALF022,ALF023,ALF024,ALF025,ALF026,ALF027,ALF028,ALF029,ALF030,ALF031,ALF032,ALF033,ALF034,ALF035,ALF036,ALF037,ALF038,ALF039,ALF040,ALF041,ALF042,ALF043,ALF044,ALF045,ALF046,ALF047,ALF048,ALF049,ALF050,ALF051,ALF052,ALF053,ALF054,ALF055,ALF056,ALF057,ALF058,ALF059,ALF060,ALF061,ALF062,ALF063,ALF064,ALF065,ALF066,ALF067,ALF068,ALF069,ALF070,ALF071,ALF072,ALF073,ALF074,ALF075,ALF076,ALF077
G1700510,1870,Illinois,170,Fayette,510,Fayette,11168,,,,,,,,11168,930,,,657,,,,,,,,,,,,,400,,2064,,491,,,,,,,,,,,,,,,,,,,,,,,,,,16,44,,,2,129,35,827,0,3,,296,,,,,,15,,6,107,
G1700530,1870,Illinois,170,Ford,530,Ford,3167,,,,,,,,3167,623,,,108,,,,,,,,,,,,,611,,1118,,611,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,38,330,17,381,0,7,,251,,,,,,70,,771,11,
G1700550,1870,Illinois,170,Franklin,550,Franklin,8783,,,,,,,,8783,359,,,576,,,,,,,,,,,,,69,,175,,111,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,2,13,2,33,0,0,,16,,,,,,0,,0,1,
G1700570,1870,Illinois,170,Fulton,570,Fulton,20720,,,,,,,,20720,1160,,,890,,,,,,,,,,,,,1488,,4521,,3043,,,,,,,,,,,,,,,,,,,,,,,,,,0,76,,,7,623,29,335,0,2,,547,,,,,,121,,231,2,
G1700590,1870,Illinois,170,Gallatin,590,Gallatin,6837,,,,,,,,6837,521,,,881,,,,,,,,,,,,,65,,415,,113,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,,,0,56,20,142,0,1,,151,,,,,,16,,0,5,
G1700610,1870,Illinois,170,Greene,610,Greene,13157,,,,,,,,13157,301,,,1066,,,,,,,,,,,,,336,,629,,259,,,,,,,,,,,,,,,,,,,,,,,,,,16,62,,,1,337,12,403,0,12,,683,,,,,,40,,8,61,
G1700630,1870,Illinois,170,Grundy,630,Grundy,6213,,,,,,,,6213,230,,,37,,,,,,,,,,,,,1632,,901,,708,,,,,,,,,,,,,,,,,,,,,,,,,,5,279,,,19,965,22,510,0,7,,1198,,,,,,343,,623,16,
G1700650,1870,Illinois,170,Hamilton,650,Hamilton,9087,,,,,,,,9087,262,,,777,,,,,,,,,,,,,36,,450,,64,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,0,29,2,104,0,0,,48,,,,,,0,,0,0,
G1700670,1870,Illinois,170,Hancock,670,Hancock,18350,,,,,,,,18350,1159,,,1471,,,,,,,,,,,,,1205,,2908,,1835,,,,,,,,,,,,,,,,,,,,,,,,,,3,145,,,9,359,355,2110,1,24,,630,,,,,,109,,52,291,
G1700690,1870,Illinois,170,Hardin,690,Hardin,3167,,,,,,,,3167,244,,,544,,,,,,,,,,,,,39,,127,,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,0,30,2,107,0,0,,12,,,,,,19,,0,4,
G1700710,1870,Illinois,170,Henderson,710,Henderson,5784,,,,,,,,5784,736,,,351,,,,,,,,,,,,,541,,1132,,731,,,,,,,,,,,,,,,,,,,,,,,,,,5,64,,,10,182,26,354,0,9,,398,,,,,,52,,493,25,
G1700730,1870,Illinois,170,Henry,730,Henry,13747,,,,,,,,13747,517,,,169,,,,,,,,,,,,,2624,,2489,,2544,,,,,,,,,,,,,,,,,,,,,,,,,,1,398,,,70,1372,139,1642,0,11,,993,,,,,,183,,5320,54,
G1700750,1870,Illinois,170,Iroquois,750,Iroquois,10011,,,,,,,,10011,3111,,,240,,,,,,,,,,,,,1742,,2902,,917,,,,,,,,,,,,,,,,,,,,,,,,,,1,1676,,,131,577,135,864,0,56,,718,,,,,,114,,229,35,
G1700770,1870,Illinois,170,Jackson,770,Jackson,11028,,,,,,,,11028,399,,,978,,,,,,,,,,,,,293,,579,,532,,,,,,,,,,,,,,,,,,,,,,,,,,8,114,,,5,441,53,459,0,1,,342,,,,,,216,,33,21,
G1700790,1870,Illinois,170,Jasper,790,Jasper,5602,,,,,,,,5602,2193,,,668,,,,,,,,,,,,,71,,1323,,159,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,2,35,147,254,0,4,,66,,,,,,3,,1,4,
G1700810,1870,Illinois,170,Jefferson,810,Jefferson,11671,,,,,,,,11671,594,,,722,,,,,,,,,,,,,108,,625,,149,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,0,51,5,66,0,0,,36,,,,,,13,,5,3,
G1700830,1870,Illinois,170,Jersey,830,Jersey,8041,,,,,,,,8041,217,,,325,,,,,,,,,,,,,388,,702,,298,,,,,,,,,,,,,,,,,,,,,,,,,,33,54,,,5,255,72,943,0,6,,1024,,,,,,55,,5,66,
G1700850,1870,Illinois,170,Jo Daviess,850,Jo Daviess,14168,,,,,,,,14168,193,,,134,,,,,,,,,,,,,1359,,621,,1069,,,,,,,,,,,,,,,,,,,,,,,,,,0,303,,,4,1937,110,2799,0,55,,2156,,,,,,123,,43,280,
G1700870,1870,Illinois,170,Johnson,870,Johnson,7197,,,,,,,,7197,65,,,885,,,,,,,,,,,,,26,,67,,28,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,,,0,11,3,8,0,0,,33,,,,,,2,,0,0,
G1700890,1870,Illinois,170,Kane,890,Kane,15548,,,,,,,,15548,160,,,49,,,,,,,,,,,,,6651,,599,,914,,,,,,,,,,,,,,,,,,,,,,,,,,20,1285,,,16,1534,88,2725,0,17,,2317,,,,,,414,,1084,115,
G1700910,1870,Illinois,170,Kankakee,910,Kankakee,10437,,,,,,,,10437,981,,,77,,,,,,,,,,,,,2074,,893,,546,,,,,,,,,,,,,,,,,,,,,,,,,,1,3813,,,96,505,200,1907,0,11,,766,,,,,,91,,130,88,
G1700930,1870,Illinois,170,Kendall,930,Kendall,5451,,,,,,,,5451,116,,,27,,,,,,,,,,,,,2057,,320,,478,,,,,,,,,,,,,,,,,,,,,,,,,,0,227,,,10,630,6,578,0,7,,369,,,,,,146,,688,19,
G1700950,1870,Illinois,170,Knox,950,Knox,16805,,,,,,,,16805,955,,,716,,,,,,,,,,,,,3005,,3774,,2336,,,,,,,,,,,,,,,,,,,,,,,,,,1,213,,,6,721,16,349,0,15,,1299,,,,,,406,,4586,37,
G1700970,1870,Illinois,170,Lake,970,Lake,9515,,,,,,,,9515,39,,,16,,,,,,,,,,,,,2876,,343,,293,,,,,,,,,,,,,,,,,,,,,,,,,,7,367,,,21,1041,253,2020,0,20,,1608,,,,,,297,,33,13,
G1700990,1870,Illinois,170,La Salle,990,La Salle,26734,,,,,,,,26734,618,,,189,,,,,,,,,,,,,4995,,2867,,3760,,,,,,,,,,,,,,,,,,,,,,,,,,0,636,,,92,1749,749,4908,3,101,,5590,,,,,,525,,1582,145,
G1701010,1870,Illinois,170,Lawrence,1010,Lawrence,7396,,,,,,,,7396,1206,,,544,,,,,,,,,,,,,87,,1634,,409,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,,0,51,31,78,0,0,,176,,,,,,5,,0,4,
G1701030,1870,Illinois,170,Lee,1030,Lee,11069,,,,,,,,11069,259,,,53,,,,,,,,,,,,,2614,,1000,,3167,,,,,,,,,,,,,,,,,,,,,,,,,,0,528,,,34,535,152,2232,0,4,,1932,,,,,,122,,479,26,
G1701050,1870,Illinois,170,Livingston,1050,Livingston,13225,,,,,,,,13225,921,,,346,,,,,,,,,,,,,2412,,3186,,2179,,,,,,,,,,,,,,,,,,,,,,,,,,1,402,,,108,942,203,1969,0,24,,1545,,,,,,307,,311,175,
G1701070,1870,Illinois,170,Logan,1070,Logan,11808,,,,,,,,11808,821,,,938,,,,,,,,,,,,,570,,3194,,781,,,,,,,,,,,,,,,,,,,,,,,,,,0,95,,,5,250,17,1691,0,11,,794,,,,,,109,,37,17,
G1701090,1870,Illinois,170,McDonough,1090,Mcdonough,14141,,,,,,,,14141,855,,,1439,,,,,,,,,,,,,762,,2771,,1791,,,,,,,,,,,,,,,,,,,,,,,,,,0,118,,,3,535,17,341,0,4,,420,,,,,,160,,103,11,
G1701110,1870,Illinois,170,McHenry,1110,Mchenry,10214,,,,,,,,10214,96,,,24,,,,,,,,,,,,,4790,,448,,560,,,,,,,,,,,,,,,,,,,,,,,,,,90,382,,,23,713,160,1187,0,11,,1661,,,,,,207,,172,11,
G1701130,1870,Illinois,170,McLean,1130,Mclean,22964,,,,,,,,22964,2215,,,2296,,,,,,,,,,,,,2598,,7580,,2713,,,,,,,,,,,,,,,,,,,,,,,,,,1,420,,,24,952,207,2839,0,41,,2949,,,,,,230,,50,153,
G1701150,1870,Illinois,170,Macon,1150,Macon,12249,,,,,,,,12249,1523,,,1279,,,,,,,,,,,,,731,,3730,,2063,,,,,,,,,,,,,,,,,,,,,,,,,,0,135,,,4,324,46,783,0,24,,780,,,,,,42,,0,43,
G1701170,1870,Illinois,170,Macoupin,1170,Macoupin,18686,,,,,,,,18686,545,,,1878,,,,,,,,,,,,,504,,1096,,584,,,,,,,,,,,,,,,,,,,,,,,,,,38,92,,,34,971,51,2144,0,5,,1188,,,,,,85,,22,74,
G1701190,1870,Illinois,170,Madison,1190,Madison,22017,,,,,,,,22017,481,,,554,,,,,,,,,,,,,616,,862,,659,,,,,,,,,,,,,,,,,,,,,,,,,,172,256,,,18,850,284,7422,0,45,,1799,,,,,,290,,20,1502,
G1701210,1870,Illinois,170,Marion,1210,Marion,10965,,,,,,,,10965,1037,,,829,,,,,,,,,,,,,526,,1988,,533,,,,,,,,,,,,,,,,,,,,,,,,,,6,107,,,3,239,52,621,0,6,,248,,,,,,57,,1,54,
G1701230,1870,Illinois,170,Marshall,1230,Marshall,7846,,,,,,,,7846,545,,,155,,,,,,,,,,,,,1000,,1505,,1183,,,,,,,,,,,,,,,,,,,,,,,,,,1,185,,,3,429,52,1089,13,20,,874,,,,,,202,,195,19,
G1701250,1870,Illinois,170,Mason,1250,Mason,8409,,,,,,,,8409,677,,,507,,,,,,,,,,,,,430,,1589,,887,,,,,,,,,,,,,,,,,,,,,,,,,,0,47,,,8,259,20,1314,0,12,,340,,,,,,19,,30,14,
G1701270,1870,Illinois,170,Massac,1270,Massac,4283,,,,,,,,4283,413,,,1354,,,,,,,,,,,,,43,,519,,78,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,,0,43,7,588,0,2,,20,,,,,,10,,0,2,
G1701290,1870,Illinois,170,Menard,1290,Menard,6963,,,,,,,,6963,351,,,982,,,,,,,,,,,,,240,,438,,180,,,,,,,,,,,,,,,,,,,,,,,,,,0,59,,,19,82,7,804,0,1,,330,,,,,,41,,136,22,
G1701310,1870,Illinois,170,Mercer,1310,Mercer,8529,,,,,,,,8529,1163,,,274,,,,,,,,,,,,,634,,2096,,2190,,,,,,,,,,,,,,,,,,,,,,,,,,0,109,,,5,339,18,310,0,0,,583,,,,,,85,,793,11,
G1701330,1870,Illinois,170,Monroe,1330,Monroe,7476,,,,,,,,7476,27,,,80,,,,,,,,,,,,,68,,87,,89,,,,,,,,,,,,,,,,,,,,,,,,,,3,28,,,1,94,98,3477,0,7,,432,,,,,,10,,0,92,
G1701350,1870,Illinois,170,Montgomery,1350,Montgomery,14454,,,,,,,,14454,834,,,1174,,,,,,,,,,,,,520,,1894,,387,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,,,25,266,25,1092,0,3,,739,,,,,,74,,29,46,
G1701370,1870,Illinois,170,Morgan,1370,Morgan,16254,,,,,,,,16254,563,,,1630,,,,,,,,,,,,,579,,921,,553,,,,,,,,,,,,,,,,,,,,,,,,,,16,113,,,4,1121,20,1062,0,11,,1463,,,,,,197,,121,22,
G1701390,1870,Illinois,170,Moultrie,1390,Moultrie,5178,,,,,,,,5178,1058,,,702,,,,,,,,,,,,,86,,1585,,299,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,,,7,119,8,90,0,1,,171,,,,,,11,,0,16,
G1701410,1870,Illinois,170,Ogle,1410,Ogle,11251,,,,,,,,11251,190,,,35,,,,,,,,,,,,,3105,,952,,3072,,,,,,,,,,,,,,,,,,,,,,,,,,0,885,,,13,424,21,2115,0,8,,835,,,,,,172,,281,13,
G1701430,1870,Illinois,170,Peoria,1430,Peoria,21768,,,,,,,,21768,834,,,441,,,,,,,,,,,,,2425,,3616,,2344,,,,,,,,,,,,,,,,,,,,,,,,,,103,328,,,18,1800,299,4399,1,106,,3493,,,,,,344,,152,306,
G1701450,1870,Illinois,170,Perry,1450,Perry,8001,,,,,,,,8001,210,,,489,,,,,,,,,,,,,239,,587,,247,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,,7,460,9,732,0,1,,387,,,,,,118,,0,29,
G1701470,1870,Illinois,170,Piatt,1470,Piatt,4629,,,,,,,,4629,1026,,,374,,,,,,,,,,,,,236,,2691,,427,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,,0,159,19,129,0,1,,219,,,,,,23,,8,7,
G1701490,1870,Illinois,170,Pike,1490,Pike,18962,,,,,,,,18962,757,,,1207,,,,,,,,,,,,,692,,2832,,831,,,,,,,,,,,,,,,,,,,,,,,,,,5,63,,,0,572,15,462,0,7,,615,,,,,,61,,5,23,
G1701510,1870,Illinois,170,Pope,1510,Pope,6635,,,,,,,,6635,257,,,974,,,,,,,,,,,,,36,,169,,89,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,,,0,23,8,352,0,0,,21,,,,,,12,,0,4,
G1701530,1870,Illinois,170,Pulaski,1530,Pulaski,3652,,,,,,,,3652,163,,,1112,,,,,,,,,,,,,146,,372,,186,,,,,,,,,,,,,,,,,,,,,,,,,,0,34,,,0,37,16,159,0,3,,169,,,,,,15,,3,4,
G1701550,1870,Illinois,170,Putnam,1550,Putnam,3020,,,,,,,,3020,125,,,77,,,,,,,,,,,,,225,,473,,665,,,,,,,,,,,,,,,,,,,,,,,,,,0,41,,,44,61,38,513,0,32,,206,,,,,,11,,48,6,
G1701570,1870,Illinois,170,Randolph,1570,Randolph,13068,,,,,,,,13068,127,,,377,,,,,,,,,,,,,191,,378,,312,,,,,,,,,,,,,,,,,,,,,,,,,,27,39,,,13,139,185,2597,0,4,,577,,,,,,213,,4,122,
G1701590,1870,Illinois,170,Richland,1590,Richland,6411,,,,,,,,6411,1277,,,686,,,,,,,,,,,,,157,,2131,,393,,,,,,,,,,,,,,,,,,,,,,,,,,2,24,,,1,75,71,265,0,2,,113,,,,,,7,,1,295,
G1701610,1870,Illinois,170,Rock Island,1610,Rock Island,11542,,,,,,,,11542,661,,,288,,,,,,,,,,,,,1674,,1429,,2252,,,,,,,,,,,,,,,,,,,,,,,,,,5,263,,,716,1131,77,2142,0,33,,1507,,,,,,170,,2127,216,
G1701630,1870,Illinois,170,St Clair,1630,St Clair,25976,,,,,,,,25976,372,,,437,,,,,,,,,,,,,552,,620,,554,,,,,,,,,,,,,,,,,,,,,,,,,,113,142,,,12,1634,1324,11878,0,61,,2117,,,,,,231,,54,450,
G1701650,1870,Illinois,170,Saline,1650,Saline,8646,,,,,,,,8646,317,,,969,,,,,,,,,,,,,19,,364,,68,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,0,8,2,41,0,0,,20,,,,,,1,,1,0,
G1701670,1870,Illinois,170,Sangamon,1670,Sangamon,23465,,,,,,,,23465,1225,,,2615,,,,,,,,,,,,,1509,,2609,,1177,,,,,,,,,,,,,,,,,,,,,,,,,,2,286,,,23,870,124,2565,0,37,,3136,,,,,,178,,93,67,
G1701690,1870,Illinois,170,Schuyler,1690,Schuyler,10299,,,,,,,,10299,609,,,824,,,,,,,,,,,,,314,,1308,,850,,,,,,,,,,,,,,,,,,,,,,,,,,0,55,,,13,160,27,268,0,20,,624,,,,,,20,,337,5,
G1701710,1870,Illinois,170,Scott,1710,Scott,6576,,,,,,,,6576,169,,,676,,,,,,,,,,,,,142,,373,,209,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,,,0,446,3,242,0,2,,376,,,,,,35,,5,18,
G1701730,1870,Illinois,170,Shelby,1730,Shelby,12672,,,,,,,,12672,1898,,,1193,,,,,,,,,,,,,281,,4419,,888,,,,,,,,,,,,,,,,,,,,,,,,,,1,103,,,19,265,31,814,0,3,,289,,,,,,39,,115,16,
G1701750,1870,Illinois,170,Stark,1750,Stark,5102,,,,,,,,5102,257,,,45,,,,,,,,,,,,,733,,1192,,807,,,,,,,,,,,,,,,,,,,,,,,,,,1,107,,,4,308,9,158,0,0,,359,,,,,,147,,178,4,
G1701770,1870,Illinois,170,Stephenson,1770,Stephenson,13101,,,,,,,,13101,143,,,55,,,,,,,,,,,,,1957,,910,,5858,,,,,,,,,,,,,,,,,,,,,,,,,,11,374,,,13,413,160,4749,0,86,,770,,,,,,20,,107,37,
G1701790,1870,Illinois,170,Tazewell,1790,Tazewell,13967,,,,,,,,13967,760,,,571,,,,,,,,,,,,,907,,2656,,1124,,,,,,,,,,,,,,,,,,,,,,,,,,2,127,,,5,390,310,3236,0,51,,767,,,,,,104,,30,282,
G1701810,1870,Illinois,170,Union,1810,Union,9739,,,,,,,,9739,248,,,502,,,,,,,,,,,,,176,,316,,177,,,,,,,,,,,,,,,,,,,,,,,,,,0,54,,,0,87,13,348,0,5,,70,,,,,,14,,3,16,
G1701830,1870,Illinois,170,Vermilion,1830,Vermilion,13929,,,,,,,,13929,5190,,,1312,,,,,,,,,,,,,593,,4065,,940,,,,,,,,,,,,,,,,,,,,,,,,,,1,86,,,18,494,21,888,0,5,,475,,,,,,42,,64,27,
G1701850,1870,Illinois,170,Wabash,1850,Wabash,6195,,,,,,,,6195,747,,,248,,,,,,,,,,,,,71,,285,,280,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,,,0,80,16,397,0,1,,28,,,,,,4,,0,19,
G1701870,1870,Illinois,170,Warren,1870,Warren,10625,,,,,,,,10625,951,,,911,,,,,,,,,,,,,1403,,2404,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,,,22,371,19,225,0,2,,671,,,,,,147,,704,7,
G1701890,1870,Illinois,170,Washington,1890,Washington,10148,,,,,,,,10148,209,,,458,,,,,,,,,,,,,297,,387,,186,,,,,,,,,,,,,,,,,,,,,,,,,,4,30,,,13,86,25,3273,1,2,,295,,,,,,84,,10,30,
G1701910,1870,Illinois,170,Wayne,1910,Wayne,11723,,,,,,,,11723,1411,,,1159,,,,,,,,,,,,,106,,2480,,514,,,,,,,,,,,,,,,,,,,,,,,,,,0,26,,,0,127,7,155,0,3,,117,,,,,,57,,17,4,
G1701930,1870,Illinois,170,White,1930,White,11371,,,,,,,,11371,1617,,,896,,,,,,,,,,,,,61,,515,,128,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,,,0,128,18,330,0,0,,77,,,,,,25,,0,5,
G1701950,1870,Illinois,170,Whiteside,1950,Whiteside,10682,,,,,,,,10682,496,,,73,,,,,,,,,,,,,3947,,1530,,3028,,,,,,,,,,,,,,,,,,,,,,,,,,8,474,,,42,669,18,1304,0,149,,1380,,,,,,246,,228,19,
G1701970,1870,Illinois,170,Will,1970,Will,17647,,,,,,,,17647,428,,,137,,,,,,,,,,,,,3989,,1374,,1541,,,,,,,,,,,,,,,,,,,,,,,,,,222,824,,,76,1898,321,5763,0,54,,3685,,,,,,1092,,249,256,
G1701990,1870,Illinois,170,Williamson,1990,Williamson,11686,,,,,,,,11686,116,,,898,,,,,,,,,,,,,34,,127,,32,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,,,0,31,1,91,0,1,,20,,,,,,0,,0,0,
G1702010,1870,Illinois,170,Winnebago,2010,Winnebago,11229,,,,,,,,11229,155,,,43,,,,,,,,,,,,,5029,,816,,1038,,,,,,,,,,,,,,,,,,,,,,,,,,0,1059,,,5,1270,15,465,0,12,,1543,,,,,,604,,1707,10,
G1702030,1870,Illinois,170,Woodford,2030,Woodford,8429,,,,,,,,8429,753,,,322,,,,,,,,,,,,,709,,1806,,1221,,,,,,,,,,,,,,,,,,,,,,,,,,0,70,,,3,521,315,2335,0,9,,502,,,,,,50,,10,230,
G1800010,1870,Indiana,180,Adams,10,Adams,6220,,,,,,,,,6220,,,12,,,,,,,,,,,,,92,,2720,,644,,,,,,165,,,,,,,,,,,,,,,,,,,1,,11,,,,24,131,731,0,0,,53,,,0,,,2,,1,359,
G1800030,1870,Indiana,180,Allen,30,Allen,21531,,,,,,,,,21531,,,93,,,,,,,,,,,,,1428,,7370,,2324,,,,,,338,,,,,,,,,,,,,,,,,,,14,,237,,,,367,1157,5347,82,17,,982,,,5,,,153,,25,311,
G1800050,1870,Indiana,180,Bartholomew,50,Bartholomew,13558,,,,,,,,,13558,,,992,,,,,,,,,,,,,197,,2299,,643,,,,,,341,,,,,,,,,,,,,,,,,,,4,,13,,,,60,19,960,0,1,,282,,,30,,,24,,2,32,
G1800070,1870,Indiana,180,Benton,70,Benton,2981,,,,,,,,,2981,,,69,,,,,,,,,,,,,178,,808,,181,,,,,,129,,,,,,,,,,,,,,,,,,,0,,161,,,,85,18,108,0,1,,237,,,0,,,20,,18,17,
G1800090,1870,Indiana,180,Blackford,90,Blackford,3747,,,,,,,,,3747,,,38,,,,,,,,,,,,,65,,1409,,330,,,,,,265,,,,,,,,,,,,,,,,,,,0,,1,,,,22,5,74,0,0,,84,,,0,,,2,,2,1,
G1800110,1870,Indiana,180,Boone,110,Boone,15511,,,,,,,,,15511,,,2189,,,,,,,,,,,,,121,,1768,,302,,,,,,650,,,,,,,,,,,,,,,,,,,0,,12,,,,51,9,140,0,0,,171,,,0,,,8,,1,3,
G1800130,1870,Indiana,180,Brown,130,Brown,5347,,,,,,,,,5347,,,424,,,,,,,,,,,,,32,,1785,,252,,,,,,307,,,,,,,,,,,,,,,,,,,0,,2,,,,25,10,69,0,0,,34,,,1,,,2,,0,2,
G1800150,1870,Indiana,180,Carroll,150,Carroll,10228,,,,,,,,,10228,,,169,,,,,,,,,,,,,215,,2417,,1056,,,,,,477,,,,,,,,,,,,,,,,,,,0,,46,,,,51,6,294,0,6,,315,,,0,,,8,,4,9,
G1800170,1870,Indiana,180,Cass,170,Cass,13406,,,,,,,,,13406,,,283,,,,,,,,,,,,,603,,3847,,1488,,,,,,559,,,,,,,,,,,,,,,,,,,4,,199,,,,266,66,1012,0,2,,963,,,2,,,39,,17,14,
G1800190,1870,Indiana,180,Clark,190,Clark,14858,,,,,,,,,14858,,,3723,,,,,,,,,,,,,325,,706,,468,,,,,,425,,,,,,,,,,,,,,,,,,,1,,69,,,,191,98,1262,0,1,,873,,,0,,,32,,4,130,
G1800210,1870,Indiana,180,Clay,210,Clay,10960,,,,,,,,,10960,,,928,,,,,,,,,,,,,157,,2856,,840,,,,,,328,,,,,,,,,,,,,,,,,,,18,,38,,,,528,42,466,0,10,,300,,,1,,,281,,25,61,
G1800230,1870,Indiana,180,Clinton,230,Clinton,12013,,,,,,,,,12013,,,481,,,,,,,,,,,,,86,,2299,,1075,,,,,,500,,,,,,,,,,,,,,,,,,,3,,13,,,,31,5,50,0,9,,80,,,0,,,10,,0,2,
G1800250,1870,Indiana,180,Crawford,250,Crawford,8218,,,,,,,,,8218,,,556,,,,,,,,,,,,,46,,335,,118,,,,,,102,,,,,,,,,,,,,,,,,,,0,,11,,,,18,16,91,0,1,,38,,,0,,,21,,0,46,
G1800270,1870,Indiana,180,Daviess,270,Daviess,12268,,,,,,,,,12268,,,1177,,,,,,,,,,,,,104,,1097,,268,,,,,,206,,,,,,,,,,,,,,,,,,,0,,22,,,,17,55,192,75,0,,528,,,1,,,8,,0,6,
G1800290,1870,Indiana,180,Dearborn,290,Dearborn,15685,,,,,,,,,15685,,,579,,,,,,,,,,,,,285,,1625,,396,,,,,,191,,,,,,,,,,,,,,,,,,,2,,34,,,,277,362,3188,0,4,,602,,,1,,,46,,3,35,
G1800310,1870,Indiana,180,Decatur,310,Decatur,12822,,,,,,,,,12822,,,1683,,,,,,,,,,,,,145,,1638,,397,,,,,,394,,,,,,,,,,,,,,,,,,,0,,15,,,,54,36,733,35,4,,323,,,1,,,18,,0,9,
G1800330,1870,Indiana,180,DeKalb,330,De Kalb,7919,,,,,,,,,7919,,,10,,,,,,,,,,,,,659,,5420,,1482,,,,,,108,,,,,,,,,,,,,,,,,,,1,,45,,,,135,27,541,0,3,,105,,,2,,,13,,4,74,
G1800350,1870,Indiana,180,Delaware,350,Delaware,11919,,,,,,,,,11919,,,217,,,,,,,,,,,,,139,,3671,,664,,,,,,1124,,,,,,,,,,,,,,,,,,,0,,13,,,,48,41,122,1,0,,253,,,0,,,7,,9,4,
G1800370,1870,Indiana,180,Dubois,370,Dubois,8683,,,,,,,,,8683,,,483,,,,,,,,,,,,,28,,466,,88,,,,,,85,,,,,,,,,,,,,,,,,,,3,,5,,,,11,93,2264,0,1,,5,,,9,,,1,,0,62,
G1800390,1870,Indiana,180,Elkhart,390,Elkhart,11987,,,,,,,,,11987,,,30,,,,,,,,,,,,,1545,,4836,,3320,,,,,,318,,,,,,,,,,,,,,,,,,,6,,381,,,,165,50,718,0,99,,157,,,23,,,22,,20,109,
G1800410,1870,Indiana,180,Fayette,410,Fayette,6406,,,,,,,,,6406,,,394,,,,,,,,,,,,,195,,885,,355,,,,,,219,,,,,,,,,,,,,,,,,,,0,,6,,,,48,19,295,0,1,,364,,,3,,,10,,1,8,
G1800430,1870,Indiana,180,Floyd,430,Floyd,13966,,,,,,,,,13966,,,2313,,,,,,,,,,,,,329,,504,,664,,,,,,350,,,,,,,,,,,,,,,,,,,36,,60,,,,527,406,1792,20,0,,621,,,1,,,38,,9,139,
G1800450,1870,Indiana,180,Fountain,450,Fountain,10837,,,,,,,,,10837,,,582,,,,,,,,,,,,,197,,1670,,499,,,,,,305,,,,,,,,,,,,,,,,,,,0,,27,,,,58,12,274,0,0,,305,,,0,,,15,,205,45,
G1800470,1870,Indiana,180,Franklin,470,Franklin,13418,,,,,,,,,13418,,,381,,,,,,,,,,,,,174,,1875,,436,,,,,,244,,,,,,,,,,,,,,,,,,,0,,16,,,,174,112,2291,0,11,,208,,,0,,,22,,3,66,
G1800490,1870,Indiana,180,Fulton,490,Fulton,7519,,,,,,,,,7519,,,148,,,,,,,,,,,,,207,,2717,,919,,,,,,295,,,,,,,,,,,,,,,,,,,7,,35,,,,36,23,251,1,0,,82,,,2,,,13,,0,55,
G1800510,1870,Indiana,180,Gibson,510,Gibson,12716,,,,,,,,,12716,,,1012,,,,,,,,,,,,,105,,429,,129,,,,,,230,,,,,,,,,,,,,,,,,,,0,,17,,,,108,43,743,0,3,,229,,,1,,,34,,0,3,
G1800530,1870,Indiana,180,Grant,530,Grant,12057,,,,,,,,,12057,,,277,,,,,,,,,,,,,100,,3512,,516,,,,,,525,,,,,,,,,,,,,,,,,,,0,,11,,,,85,6,71,0,0,,111,,,0,,,20,,2,6,
G1800550,1870,Indiana,180,Greene,550,Greene,13747,,,,,,,,,13747,,,938,,,,,,,,,,,,,101,,2331,,503,,,,,,307,,,,,,,,,,,,,,,,,,,1,,7,,,,67,5,130,0,0,,45,,,0,,,7,,0,34,
G1800570,1870,Indiana,180,Hamilton,570,Hamilton,14426,,,,,,,,,14426,,,443,,,,,,,,,,,,,129,,1899,,751,,,,,,407,,,,,,,,,,,,,,,,,,,0,,12,,,,4,24,243,17,0,,62,,,1,,,4,,7,14,
