GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ALF001,ALF002,ALF003,ALF004,ALF005,ALF006,ALF007,ALF008,ALF009,ALF010,ALF011,ALF012,ALF013,ALF014,ALF015,ALF016,ALF017,ALF018,ALF019,ALF020,ALF021,ALF022,ALF023,ALF024,ALF025,ALF026,ALF027,ALF028,ALF029,ALF030,ALF031,ALF032,ALF033,ALF034,ALF035,ALF036,ALF037,ALF038,ALF039,ALF040,ALF041,ALF042,ALF043,ALF044,ALF045,ALF046,ALF047,ALF048,ALF049,ALF050,ALF051,ALF052,ALF053,ALF054,ALF055,ALF056,ALF057,ALF058,ALF059,ALF060,ALF061,ALF062,ALF063,ALF064,ALF065,ALF066,ALF067,ALF068,ALF069,ALF070,ALF071,ALF072,ALF073,ALF074,ALF075,ALF076,ALF077
G0100470,1870,Alabama,10,Dallas,470,Dallas,31669,31669,,,,,,1402,,,,,,,,,,,,,,,,,,,1451,,,,,1756,325,,,2347,,,,,,,,,,,,,,,27,,,11,,,9,,,,43,13,155,0,,,136,2,,,,,17,,3,6,
G0100490,1870,Alabama,10,DeKalb,490,Dekalb,4374,4374,,,,,,991,,,,,,,,,,,,,,,,,,,269,,,,,416,790,,,84,,,,,,,,,,,,,,,2,,,0,,,1,,,,28,0,1,0,,,16,0,,,,,3,,1,0,
G0100510,1870,Alabama,10,Elmore,510,Elmore,11078,11078,,,,,,1885,,,,,,,,,,,,,,,,,,,316,,,,,582,60,,,327,,,,,,,,,,,,,,,6,,,0,,,4,,,,10,3,12,0,,,21,2,,,,,3,,1,2,
G0100530,1870,Alabama,10,Escambia,530,Escambia,3143,3143,,,,,,262,,,,,,,,,,,,,,,,,,,67,,,,,136,12,,,57,,,,,,,,,,,,,,,0,,,0,,,3,,,,3,0,20,0,,,7,0,,,,,2,,2,0,
G0100550,1870,Alabama,10,Etowah,550,Etowah,6516,6516,,,,,,1670,,,,,,,,,,,,,,,,,,,384,,,,,889,324,,,149,,,,,,,,,,,,,,,0,,,0,,,5,,,,14,1,8,0,,,14,0,,,,,0,,1,4,
G0100570,1870,Alabama,10,Fayette,570,Fayette,5568,5568,,,,,,562,,,,,,,,,,,,,,,,,,,237,,,,,468,165,,,28,,,,,,,,,,,,,,,1,,,0,,,0,,,,3,0,1,0,,,1,0,,,,,5,,0,0,
G0100590,1870,Alabama,10,Franklin,590,Franklin,6165,6165,,,,,,461,,,,,,,,,,,,,,,,,,,226,,,,,276,332,,,149,,,,,,,,,,,,,,,0,,,0,,,0,,,,1,1,8,0,,,2,0,,,,,3,,0,0,
G0100610,1870,Alabama,10,Geneva,610,Geneva,2017,2017,,,,,,460,,,,,,,,,,,,,,,,,,,126,,,,,150,2,,,14,,,,,,,,,,,,,,,2,,,0,,,0,,,,0,0,2,0,,,0,0,,,,,3,,0,0,
G0100630,1870,Alabama,10,Greene,630,Greene,15192,15192,,,,,,272,,,,,,,,,,,,,,,,,,,830,,,,,950,75,,,651,,,,,,,,,,,,,,,6,,,1,,,0,,,,5,3,28,0,,,23,1,,,,,3,,0,1,
G0100650,1870,Alabama,10,Hale,650,Hale,17088,17088,,,,,,301,,,,,,,,,,,,,,,,,,,1674,,,,,539,132,,,1627,,,,,,,,,,,,,,,1,,,1,,,0,,,,4,4,29,0,,,52,0,,,,,1,,2,3,
G0100670,1870,Alabama,10,Henry,670,Henry,9240,9240,,,,,,3210,,,,,,,,,,,,,,,,,,,504,,,,,576,29,,,161,,,,,,,,,,,,,,,2,,,0,,,0,,,,0,1,0,0,,,4,0,,,,,2,,0,0,
G0100710,1870,Alabama,10,Jackson,710,Jackson,14121,14121,,,,,,1035,,,,,,,,,,,,,,,,,,,494,,,,,379,2485,,,379,,,,,,,,,,,,,,,0,,,0,,,2,,,,21,1,6,0,,,12,0,,,,,0,,1,0,
G0100730,1870,Alabama,10,Jefferson,730,Jefferson,10131,10131,,,,,,724,,,,,,,,,,,,,,,,,,,207,,,,,769,197,,,120,,,,,,,,,,,,,,,0,,,0,,,1,,,,5,0,2,1,,,19,0,,,,,2,,0,0,
G0100770,1870,Alabama,10,Lauderdale,770,Lauderdale,11783,11783,,,,,,103,,,,,,,,,,,,,,,,,,,410,,,,,360,1346,,,423,,,,,,,,,,,,,,,1,,,0,,,4,,,,22,3,27,0,,,13,0,,,,,8,,0,5,
G0100790,1870,Alabama,10,Lawrence,790,Lawrence,13069,13069,,,,,,687,,,,,,,,,,,,,,,,,,,370,,,,,399,1007,,,544,,,,,,,,,,,,,,,2,,,1,,,0,,,,7,1,16,0,,,15,1,,,,,3,,0,0,
